0.Unannotated,1.Unannotated,2.Unannotated,3.Unannotated,4.Unannotated,5.Unannotated,6.Unannotated,7.Unannotated,8.G-KC,9.Unannotated,10.Astrocyte-like,11.TmY14,12.Pm1/Pm2,13.Unannotated,14.Ensheathing glia,15.Unannotated,16.Unannotated,17.Mip ,18.Tm9,19.Unannotated,20.L1/L2/L3/L4/L5,21.Unannotated,22.a/b-KC,23.Unannotated,24.T4/T5,25.Unannotated,26.Mi1,27.OPN: adPN and lPN,28.a'/b'-KC,29.Unannotated,30.Unannotated,31.T2/T3,32.Unannotated,33.Unannotated,34.Unannotated,35.Ensheathing Glia,36.Clock neurons,37.T1,38.Serotonergic,39.Dm8/Tm5c,40.Unannotated,41.Tm5ab,42.Dopaminergic,43.Hemocytes,44.Unannotated,45.Tm1/TmY8,46.Peptidergic,47.Unannotated,48.Pm1/Pm2/Pm3,49.Unannotated,50.Unannotated,51.Mt1,52.Unannotated,53.Photoreceptors,54.Unannotated,55.Unannotated,56.Unannotated,57.MBON,58.Lawf1,59.Unannotated,60.Cortex Glia,61.dFB,62.Unannotated,63.Unannotated,64.Octopaminergic-Tyraminergic,65.C2/C3,66.Subperineurial Glia,67.Unannotated,68.Unannotated,69.Unannotated,70.Perineurial glia,71.Unannotated,72.Lawf2,73.Pm3 ,74.Unannotated,75.Unannotated,76.Unannotated,77.Unannotated,78.Unannotated,79.Unannotated,80.Poxn,81.Unannotated,82.Chiasm Glia,83.Unannotated,84.Unannotated,85.Subperineurial Glia,86.DN1
CG12237,,bru3,dpr17,CR44024,pix,CG4577,prim,CAH2,eys,MRE16,CG6329,Eip63F-1,beat-Vc,CG9507,CG12237,CG14762,CG11000,ap,GluClalpha,Pdfr,Ggamma1,CG45263,Tpi,CG17716,,CG11221,Uch,CG15539,fz2,DIP-beta,Drgx,CG41378,CG32264,,CG5895,CG43222,CG42673,Dhpr,mspo,Ace,CG31324,Pvf3,Act42A,dpr1,scro,CG31760,Dop2R,dpr1,igl,,Wnt4,Pdfr,stops,hoe1,Scp2,CG6337,,jeb,,scramb1,Vha26,CG12594,cindr,Alk,Toll-6,Sp7,nmo,CG9990,CG30197,CG34417,,Cpr62Bb,CG32700,igl,,GstE12,toy,beat-Vc,vkg,Drl-2,EbpIII,CG9467,,CG31221,CG13082,RpS7
prim,,CG16779,spab,pros,Dak1,CG1463,Uhg5,FK506-bp2,CG14459,bbc,Syt1,Pdp1,Camta,CG10513,rad,prim,bma,CG5890,CG42346,CG13739,CG15478,bru2,CD98hc,Nlg2,,VAChT,rgn,CG42817,brat,mbl,Ten-a,CG32225,alpha-Man-Ia,,CG1552,VGlut,Fur1,bma,Nckx30C,CG42458,cpo,Cad87A,Ance-5,CG43729,Scp2,CG42566,CG6123,igl,CG5890,,Ktl,CG1688,CG44195,CG9896,CG10804,CG13623,,CG12541,,CG15209,5-HT2A,TyrR,pdm3,Calx,jeb,eEF5,CG32544,Aldh-III,CG42709,Fas2,,CG32698,rad,AstC-R1,,CG6421,CG13739,ara,Col4a1,sv,GstT4,NimB5,,CG12194,CG18507,D
svp,,beat-VII,,Proc,CG9919,sr,hdc,toy,Ptp99A,GstD3,Vha26,Hasp,Syp,CG32521,CG32017,beat-IIIb,7B2,trn,CG31345,Gfrl,CG9328,CG7378,Mpc1,Pdp1,,Cngl,CR44024,Bsg,Dop2R,CG9674,dpr18,P32,MESK2,,hoe1,Eip63F-1,VepD,Alk,CG33639,Fili,CG42817,CG9932,CG1092,CrebA,nolo,Spp,CG18467,Argk,RNASEK,,ckn,vvl,Tsp42Ej,kn,CR45312,Pfk,,CG13739,,CG10433,ome,SKIP,CG45263,Pcd,Nckx30C,CG30285,Frq1,Tsp29Fb,CG9336,CG6910,,Octbeta2R,Npc2a,CG8401,,CG15211,Dak1,fkh,Drgx,CG7646,CG33970,HDAC6,,Dscam4,CG2816,AdoR
l(3)02640,,CG12194,,dati,Evi5,Ca-alpha1T,CG5010,Hr51,CG43795,Chd64,CG32700,Nplp1,Rdl,List,CG13408,7B2,Appl,Sox21b,CG42541,CG10257,slgA,fok,Eno,CG9896,,CG32647,CG15772,bun,NetB,IscU,TfAP-2,CG13937,CG44314,,Est-Q,Nplp1,Awh,CG34155,CG45781,CG42342,kirre,Mmp2,Fer2LCH,CG44247,Cbp53E,Uch,Sytbeta,CG14024,Snap25,,Adk1,Syt1,Mppe,Nep4,beat-Vc,Qtzl,,DIP-alpha,,Ugt35b,Dscam2,Dat,cmpy,5-HT2B,Eip93F,CG15661,CG34355,GstO3,CG12991,CG10433,,futsch,CG14989,Pkc53E,,CG10863,CG10089,CG31191,GstD1,ara,CG17549,CG30197,,CG30419,CG6426,IRSp53
Fife,,CG13995,,P5CDh1,rin,dpr1,ref(2)P,fz,Drl-2,Inx2,beat-VI,CG9328,CG1648,CG14945,Hasp,ChAT,CG31221,emc,tutl,Fs,RNASEK,Octbeta1R,AMPdeam,CG9328,,Hs3st-A,CG7381,Lac,cathD,tey,CG14082,CG31808,cpo,,SLC22A,CG32264,Nckx30C,DIP-theta,Rtnl1,Fas3,tna,fz2,Fer1HCH,CG30172,CG14372,CalpA,amon,CG34354,dpr18,,DIP-epsilon,stai,boss,fd59A,CG42238,eEF1alpha1,,cpx,,Irc,Hexo2,shg,dac,sff,CG4587,RpS15,Snap25,CG9336,CG2082,Mdh1,,CG15765,CG7991,Pdfr,,CG13071,CG44837,oaf,CG12344,Pde6,Cyp6g1,Baldspot,,Dop1R1,Cpr97Eb,CG34384
CR44024,,Pkc53E,,salr,Ten-m,Vsx1,sr,CG17816,Ten-m,Cyp28a5,beat-Ib,CG14757,rgn,N,Hsp67Bc,CG7708,nAChRalpha6,CG34113,CG9932,Tsp97E,Vha26,slo,AstA,kek1,,kirre,nolo,toy,CG11030,rad,CG44098,mRpS33,kek1,,bdl,CG30172,Frq1,CG12237,Dgk,Ten-a,Rdl,7B2,CG42807,CG1402,ct,CG1890,robo2,CG13054,dpr1,,Ih,Cngl,peb,Pdfr,ct,Myc,,beat-VII,,CG7607,5-HT1A,DIP-theta,qvr,pdm3,CG44422,AnxB9,CG6329,CG5390,Obp18a,CG15661,,CG11768,Fife,oc,,CG6398,CG8671,CG33543,CG9451,CG32392,CG8306,Gabat,,CG43373,CG9990,ham
CG46301,,Fife,,sgll,RSG7,DOR,ND2,Sytalpha,nvy,CG8745,DopEcR,RapGAP1,CG32647,Cyp28d1,Pcd,vvl,brat,CG11085,CG6959,qvr,CG32544,ey,Ctr9,2mit,,ChAT,Ace,rad,pyd,bol,TyrR,CG17029,CG31262,,List,Rfx,slgA,Dop2R,CG9896,RapGAP1,CG15236,Ac78C,CG15098,Nep3,CG11000,CCT5,Ddc,CBP,Fife,,mspo,zfh1,yps,HDAC6,MYPT-75D,CG5010,,Nckx30C,,Invadolysin,IscU,pros,igl,lov,toy,CR30009,RpL24-like,CG18067,CG3713,RpS15,,CG14757,Vsx1,CG2082,,CG17572,CG1907,sano,CG2145,Sap47,CG17919,Picot,,Dop1R2,CG40160,RpL35A
rad,,Pde6,,GC1,Ank2,CG3009,Ctr9,kuz,CR45312,bdl,shi,GluClalpha,CG31345,CG6357,Nplp1,CG43324,NK7.1,ChAT,NaCP60E,CG42346,Vha55,dac,COX5A,robo2,,Ace,SLO2,cmpy,Pdi,salr,Frq1,CG5644,dpr1,,ogre,AstC-R2,cindr,Vsx2,ort,CG42340,CG11000,CG13759,CG31777,CG8909,Nckx30C,nrv1,bab2,CG8861,CG8910,,mbl,Fur1,CG45782,CG12163,msi,La,,dpr11,,CG5758,CG14757,CG34155,Toll-6,kug,CG3257,Mdr65,slgA,GstE3,CG9689,sog,,CG11221,Gad1,trol,,CG11073,Rh7,CG11317,CG9338,Pka-C3,GstE9,CG10527,,CG43759,knrl,CG3530
robo2,,unc-13-4A,,SK,Hsp67Ba,nmo,RpS9,CG32066,dpr6,mfas,Cngl,slgA,beat-Vb,axo,CG4199,Cals,unc-13-4A,px,CG42458,CG15312,dpr17,stai,cbx,Syt1,,Npc2a,CG2680,igl,DIP-theta,hig,CR43825,Chchd3,CG43658,,Gs2,rad,para,CG10804,Pde6,hwt,qvr,CG31760,NimB3,Pcd,glec,GstO3,dpr20,dpr20,kirre,,ct,Prosap,CG6656,CG32982,vib,His2Av,,CG32264,,CR45131,Vha55,CG12994,rdx,CG2269,nSyb,atilla,CG10804,eEF1alpha1,CG3168,Timp,,hth,CG4766,CG43795,,CG31103,bru1,Ald,Cyp6a20,Rgk1,CG6746,MFS9,,CG6123,CG17834,CG1809
Myo81F,,brat,,DIP-alpha,CG3556,Ace,CG30172,Df31,Oct-TyrR,CG12730,TM4SF,beat-IIIb,trv,Treh,scro,Hsp67Bc,AstA,CG6329,ND-B22,pan,Vha68-1,dati,Hsp27,dpr1,,nrm,Gycbeta100B,dpr8,Sema2b,sgll,CG8916,kdn,hid,,CG9394,cwo,nAChRalpha7,fax,Octbeta1R,TM4SF,CG42541,fax,cer,Lerp,CG34251,CG31345,miple1,CG32017,ct,,Ggamma30A,Tet,RhoGDI,Rdl,CG15236,CG6512,,Aldh,,Tsf1,fwe,robo2,nrv3,Cad87A,CG32225,Ugt86Da,pan,Cat,wtrw,MtnA,,CG32264,TfAP-2,CG9896,,CAH2,CG44153,Dscam2,rho,LpR1,Idgf6,AnxB9,,IA-2,CG7497,RpL28
CG12594,,CG11030,,hdc,Ssb-c31a,Hk,CG14186,fru,CG18467,GstE1,CG5890,levy,igl,mgl,CG1275,fz2,sm,cindr,luna,Nckx30C,CR45312,fz,Npc2b,Ip259,,CG43902,futsch,FK506-bp2,toy,salm,VAChT,CG12239,tna,,Inx3,Glo1,CG15117,CG45002,trio,fred,Slob,CG30172,NimB5,CG9391,VAChT,CG42817,VAChT,dpr18,bru3,,Pdfr,mamo,Crg-1,MtnA,CG42260,sta,,Ddc,,CG30285,DIP-delta,CG5758,VAChT,CG33090,norpA,CG5687,Scgdelta,Idgf6,CG8312,CG9743,,Gpdh,CG4577,AstC-R2,,CG34417,dpr6,CR32111,CG14687,CG4297,Mipp1,Msr-110,,CG42788,CG5397,Hipk
Sytbeta,,Pdcd4,,CG45781,Cyp1,CG4629,RpL9,dysc,CG34353,Cyp4g15,Ald,twz,mbl,apolpp,CG43324,rad,Galphao,Frq2,Ih,Nhe2,CG32698,CG32700,CG11099,ND-B22,,Ggamma30A,CG6144,CG42322,Drl-2,CG13384,CG11000,Ssadh,shakB,,CG42235,Phm,SP1029,DIP-delta,Ace,Mp,beat-VI,CG3104,CG9372,dati,norpA,PHGPx,px,Dh44-R2,CG34355,,CG34383,CG42337,CG9990,CG7509,Argk,Tpc1,,Ca-alpha1T,,CG31248,AdoR,Optix,cpx,CG13579,Ggamma30A,CG10702,CG2082,Cys,Zasp66,CG2852,,cype,beat-Ib,scro,,KFase,Nckx30C,scro,Idgf3,cv-c,Gbs-70E,Npc2a,,Ndae1,qsm,CG13408
br,,CG43324,,CG3961,CG2201,Nlg3,ND1,PH4alphaNE1,elB,CG8369,Pvf3,ATPsynbeta,cindr,MRE16,Sytbeta,CG43759,kek1,AstC-R2,Hk,CG7971,Ccn,rut,CG10340,VAChT,,CG42392,CG12994,olf413,Lam,sd,rgn,Hsp67Ba,Dop2R,,CG12355,Ac13E,CG1688,CG13248,Cngl,CG3655,PIP4K,side,SPARC,Nrt,CG44422,CG6184,AstC-R2,Npc2a,CG5151,,VAChT,CG2082,CR43480,CG13631,tup,SerRS,,sky,,Csas,CG2082,PVRAP,Wnt4,Nrt,mtd,Sirup,CG6154,Idh,CG32032,Pcyt2,,fred,mirr,SP1029,,pr,SK,CG33143,Spn43Ab,Mmp2,AcCoAS,CR43468,,CG2269,form3,RpL39
bma,,fend,,orb2,IscU,roX2,ND-AGGG,dac,St3,CG14688,Proc,shi,CAH2,SPARC,Fife,CG1504,CG15236,mam,Syp,levy,Cngl,SP1173,CG31808,alc,,FMRFaR,glob1,Pkc98E,dati,GC1,Tl,CG43222,sNPF-R,,CG42613,nmo,CG32982,Cirl,hbn,CG9932,nrv3,rdgA,Idgf2,Gdi,CG43902,Rab9,ChAT,GluRIA,CG8916,,Dop2R,bru1,CG17739,Irk3,Vha26,ver,,Argk,,Msr-110,Vha44,RunxA,Cbp53E,alpha-Man-Ia,Pdk,RpS13,CG8620,nec,Nep4,CG8034,,ATPsyngamma,Ac76E,klar,,Best2,CG33639,mAChR-B,CG10562,CG30419,CG33178,CG5758,,CR43492,CR43051,sky
CG34155,,CG34219,,CG33181,nAChRalpha3,DopEcR,pros,Cngl,CG32206,CR43459,VhaM9.7-a,TfAP-2,CG43737,Idgf3,CG42541,Rbp9,sty,mub,beat-IIa,mamo,Eip63F-1,CG5830,CG3793,RpL34b,,beat-IIa,SdhA,metro,CG34155,Dak1,Adk1,CR44832,nolo,,Fas1,CG31760,rdgA,VhaAC45,oc,St3,Rh7,Pde9,CG6910,CG11030,rdgA,ergic53,CG43729,hbs,Rim,,trv,Ggamma30A,awd,Tsp42Ee,RapGAP1,Irbp18,,CG15431,,CR43259,ATPsynF,stai,fred,NetB,scyl,RpS5a,kirre,Pgd,CG9691,CG31200,,CG1504,beat-Ic,CG15431,,CG40486,Rbp6,sm,Prip,SoxN,CG32694,CG7509,,Pcd,sano,RpLP1
,,Ptp99A,,beat-VII,Lim1,CG14186,AMPdeam,dlp,CG15236,nrv2,CG31808,SoxN,cpo,CG31663,Rlip,Ten-a,MYPT-75D,Ptp99A,dpr6,CG42795,Mnn1,qm,Pgk,DOR,,ct,CG15456,CG42392,,dpr21,tutl,Acon,rho,,CG12484,Flo1,Jupiter,Gpb5,scro,igl,Pdfr,mub,jtb,prim,Dh44-R2,CG1402,Nos,CG13685,CG45263,,Octbeta1R,AstC-R2,Ggamma30A,Past1,CG13408,Hsc70-3,,CG11317,,Oda,mbl,dpr6,Ih,CG34353,chrb,RpL13A,COX5A,Hmx,CG11426,RpLP2,,CG6329,beat-IV,CG6330,,CG9628,CG17716,tna,CG16743,nvy,CG9990,Irc,,fne,emp,Tsp42El
,,dpr9,,CG45263,CG7708,X11Lbeta,Hsc70Cb,CG3625,Toll-6,CR43334,bol,mtd,Cadps,CG31676,CG12594,Alk,Pcd,Ggamma30A,ND-B17.2,SdhD,Vha36-1,CG7646,Pfk,5-HT2A,,rdgC,CG34370,CG43324,,CG15772,alpha-Man-Ia,ND-75,stv,,axo,tsr,Got1,CG8909,orb,AstC-R2,Nckx30C,beat-Vc,eEF1alpha1,RhoGAPp190,Adk1,eEF1gamma,beat-VII,NaCP60E,jeb,,Pka-C3,Sytalpha,ninaG,lov,bol,CG15784,,Lmpt,,CG16758,CG9328,Ccn,MCU,CG1275,Dscam2,Sdr,NaCP60E,CG30197,CG30069,CG12355,,ND-30,CR44628,CG42392,,CG5909,msi,CG9932,CG30285,CG18598,Cyp6d5,CG12926,,lov,CG17121,eEF1alpha1
,,CG34354,,CG18208,SdhA,Hr38,Ubi-p63E,mspo,,CR17025,CG15478,nSyb,tutl,trol,heph,Pde6,Ptp99A,nAChRalpha3,beat-Ib,CG11191,Pdfr,Hr51,Rab18,Tet,,Ih,CG12264,Hr51,,CG18208,tipE,CG6330,St3,,CG6287,Pcd,tna,CG11317,CG14509,cpo,hppy,CG6145,CG5397,Dhpr,CG18208,CG5934,CG32052,CG32225,Vha55,,CR46006,Mmp2,Pis,CG32521,CG13739,Ac78C,,corto,,ana,GC1,SK,osp,Mmp2,Atox1,RpL28,dpr5,Prosbeta3,Ssk,Vha68-2,,Cisd2,CG31323,CG15186,,lft,tacc,Cbp53E,santa-maria,btsz,RpS23,bnb,,Vkor,CG14572,CG17778
,,CG8248,,dpr6,Cals,fz2,brat,bru2,,CG42342,Ets65A,cu,qvr,GstE2,Dop2R,CG1275,Ppcs,rgn,CG8245,COX8,Dak1,CG33116,gammaSnap1,dpr10,,scrt,sNPF-R,stai,,CG7991,Obp83a,CG6878,CG32506,,CG1468,oc,sdt,CD98hc,CG31808,Atox1,VAChT,sty,NimB4,Gpb5,SPR,CG13053,CG7708,cpx,Argk,,CG14431,CG33639,CG18598,CR45131,CR44738,CG10802,,fz,,CG1764,CG32544,fax,CG9650,Gprk2,Ald,Spn88Ea,ATPsynCF6,CG9691,EbpIII,CG6836,,ND-23,miple1,Ccn,,CG14823,GluRIB,fd59A,CG10513,Bsg,CG11841,CG10433,,CG15236,Gasp,Kal1
,,CG1275,,DIP-gamma,CG45263,Octbeta2R,CG17698,eEF1alpha2,,AnxB9,Vha36-1,Ald,inaE,Spn43Ab,klg,Ac13E,Nos,roX2,CG11752,grn,Vha14-1,toy,ghi,CG9628,,Gycbeta100B,ATPCL,eEF1alpha2,,CG1607,Pdfr,CG13760,CG17839,,CG5758,pros,Galphao,CG42750,dpr8,tna,CG8916,CG1275,mthl2,CG43324,Appl,mRpS9,elB,CanA-14F,Atox1,,Wdr62,Teh2,Ekar,Picot,Sap47,CG3714,,Plc21C,,CG11425,Ggamma1,CG1695,trn,jdp,CG42540,CG1572,aop,CG3164,Irk3,CG7220,,app,TM4SF,CG15236,,CG14830,chrb,zfh1,CG8369,CG10947,Tsp42Ei,DAT,,spab,rtv,RpL10Ab
,,Hs3st-A,,CG1402,olf413,glec,CG1927,CG13055,,CG10433,Hmx,Ssadh,hig,Rh50,CG8613,dpr9,CG32698,sano,ND-19,CG31324,shi,Rbp,Ufd1-like,nrv3,,CG12502,igl,Dop1R1,,Corin,tna,muc,CG11000,,zyd,CG13551,ort,Vsx1,Cbp53E,mtd,Octbeta1R,Pde1c,LanB1,Calr,TfAP-2,Arc1,CG3277,Hasp,CG6330,,beat-IIb,CG11000,lqf,fu12,CG11050,lost,,scpr-C,,CG32521,luna,br,CG31345,dmrt99B,RapGAP1,RpS18,ple,Idgf4,Frl,RpS18,,UQCR-C2,Dscam3,Eip74EF,,CG13606,Argk,Ggamma30A,CG7888,Sytbeta,CG4115,CG11426,,CG4629,Jupiter,Pu
,,Con,,CG31814,CG13928,Ih,nkd,CG43324,,CR43651,Lim3,Octbeta2R,CG31221,CG9691,Alk,DIP-eta,Dop1R1,ct,Nckx30C,erm,CG18208,GlcAT-P,CG7739,tutl,,CG31324,pros,dac,,CG7582,pan,CG8331,CG13954,,CG14688,nrv1,CG13594,CG14024,CG10384,CG34371,igl,CG18467,CG4927,brat,pHCl-1,Dad,Hsp67Bc,noc,DopEcR,,flw,Octbeta1R,Tab2,CR43425,CG5890,Hmgs,,BicD,,CDase,CG42392,Cyt-c1,CG11000,side,VGAT,CG10311,Pcyt1,vir-1,mgl,lama,,ND-39,CG42594,nSyb,,CG6429,CG6329,Octbeta2R,CG31663,Appl,Jon65Aiii,CG2852,,out,CG10939,JhI-21
,,CG30172,,DIP-delta,CG3009,Gpdh,Gpb5,sals,,Rac2,CG32544,Pdfr,CG2993,CG5758,CG15765,Pcd,CG43324,SP1029,beat-IIIb,mspo,Cyt-c-p,CG32204,Rop,Pde6,,Sytalpha,CG33143,Dyb,,CG46301,CG30419,AnxB10,Frq1,,CG9691,CG1275,CG42340,AstA-R1,CG42392,klg,ftz-f1,CG15537,Drs,tai,Sdc,Spase12,prim,Toll-6,CG32017,,CG13685,glec,PGRP-LA,Cys,Hasp,MRE16,,CG13685,,mgl,Cbp53E,18w,CG1463,Nos,Csp,CG8180,RpS2,CG31997,HDAC6,scf,,tim,Lim3,CG5065,,CG2846,levy,Tpi,Ugt35b,CR32111,Gp150,Pcyt2,,Rbfox1,baz,CG34136
,,CG13108,,CG14459,CG17716,fred,CG6191,dnc,,CG32032,CG13698,Syt1,scrt,CG42613,Rgk2,CG12594,CanB,CG31637,Gpdh,nrv3,Vha44,LysRS,ND-42,Nckx30C,,Pde11,CG8818,CG11221,,l(3)02640,ST6Gal,Dic1,Gfrl,,CR43259,Calr,trn,Dscam3,CG14757,Dscam2,inaE,CG42750,betaTub60D,VhaAC45,kek1,zfh1,rdgA,nmo,fz,,CG42346,dac,Rab32,CG10550,beat-IIa,Sam-S,,SoxN,,CG42327,levy,CG42674,Npc2a,ETHR,fd59A,CG14687,Vha68-1,CG7970,Mgstl,Cht2,,CG42392,Sap47,CG42324,,CG34398,Nhe2,MRE23,slif,CG33116,CG9815,e,,Ets96B,CG8740,Lim1
,,CG2993,,CG8861,Ptp99A,dpr17,CG4080,dlg1,,RpL22,dpr2,bol,Appl,Picot,bma,CG32809,CG14535,Nckx30C,nAChRalpha7,Tina-1,levy,cpo,CG42813,CR46006,,dally,Ssb-c31a,CG42313,,heph,CG1358,GC1,trv,,ced-6,Hsp23,AstC-R1,FMRFaR,fkh,alc,CG11752,nvy,eater,Spase25,SLO2,Tsp42El,toy,CR45312,Syx1A,,dpr13,Hsp68,Ipp,Invadolysin,Tomosyn,Arc2,,Sh,,Idgf3,Corin,CG3262,fz2,5-HT2A,shakB,RpL10Ab,ATPsynB,GstE6,hoe1,MFS14,,CG34155,nSyb,CG9650,,Thor,CG4297,CG13868,CG32032,tinc,CG3902,CG7966,,Rgk3,ptc,RpL30
,,RhoGAP71E,,CG42674,vvl,emc,CG4577,Appl,,CG6465,msi,CG32698,Shab,dally,Hsp67Ba,hbn,CG30419,Syt7,nAChRalpha3,ChAT,Lcch3,Rgk2,RNASEK,CG14509,,Teh2,beat-IV,fz,,CG32698,Liprin-gamma,CG3556,DnaJ-1,,CG31974,CG44837,Drep1,Rac1,CG9164,beat-VI,RpL34b,Act5C,CG6553,Df31,heph,CG2846,CG44422,CG4587,vib,,CG8861,Pvf3,Thor,gammaSnap2,CG6329,RtcB,,CG6330,,santa-maria,ATPsynbeta,Teh1,LpR1,Ppcs,ct,Cyp311a1,RFeSP,RpL13A,Tsp42Ed,NKCC,,CG1640,hig,cpx,,Gp150,Dll,Act5C,vir-1,5-HT7,Snmp2,nrv2,,beat-Ic,qless,bma
,,CG46301,,CG15537,Corin,CG44153,jeb,Act5C,,GstE12,CG8861,Snap25,nAChRbeta1,CG1545,CanB,CadN,CG34113,CG14509,CG6329,Rh7,dpr20,CG15459,Ald,CG31324,,5-HT2A,lace,CG9813,,CG1402,Hk,Tim8,CG42540,,ssp7,Pdfr,Sh,CG13408,stai,DnaJ-1,Teh2,Dh44-R1,Idgf6,Spase12,gukh,Tsp42En,dpr17,sNPF,wry,,CG43729,CG9932,CG3961,CG43658,CR44498,CG2017,,nrv3,,CG6287,Snap25,CG43759,Nlg4,CG6282,s-cup,babos,bol,GstZ2,bi,Tsp42Ed,,dally,CG14024,sli,,nrv1,CG4404,Dop2R,CG4721,CG32225,RpL13A,fusl,,Gyc88E,CG34120,RpS15
,,CG13375,,,DIP-gamma,ftz-f1,CG46301,Nlg3,,CG6357,Ptp99A,CG2082,Syt1,Pkn,Pde9,Dh44,Gyc88E,CG2016,ND-23,sano,IscU,CG34219,CG15432,Ace,,CG11000,SP2353,CG11191,,,skl,CG5214,SLO2,,VhaM9.7-b,Magi,dally,amon,sra,CG7582,CR46006,amon,Mec2,CaBP1,Octbeta2R,CG43222,trn,CG33543,Toll-6,,5-HT1A,ftz-f1,CG14591,luna,fok,eIF1,,opa,,CG9629,Vha13,CG46301,AnxB10,dpr13,CG32982,CG7530,RpL35,Tsp42Ea,zyd,CG10702,,ATPsynbeta,CG13579,CG32204,,grh,Ih,CG8861,CR43259,Pka-R2,LysD,CG31676,,CG15772,CG1213,cv-2
,,Rab27,,,dpr21,Ggamma30A,CG33170,CG45263,,GILT3,ct,bi,Frq2,CG11407,RhoGAPp190,unc-13-4A,rdgA,CG14431,inaE,ND-23,Nca,trv,Cbp53E,Hs3st-A,,CR44471,beat-Ia,CG45263,,,CG5644,CG14757,CG34351,,CG9436,CG33169,CG6044,CG46301,norpA,kek5,CG12290,erm,CG4259,Men,Tsp42Eg,RpL39,dpr9,Fas2,fru,,glob1,sra,Fbxl4,CG43795,CG9650,Ran,,kug,,CG4409,CG6330,CG11030,Tet,Fas3,CG10738,CG34417,TfAP-2,Nplp1,Sirup,CG4630,,COX4,Tomosyn,Eip93F,,QC,CG15309,Pglym78,CG11686,Dh44-R2,shf,Idh,,CG9313,CG34248,CG5567
,,CG6123,,,RpS2,GluClalpha,Gadd45,CG7646,,CR45018,eIF1A,CG13229,Lim3,zyd,CG32809,Nlg2,Phm,CG7781,futsch,Slob,Dll,cora,CG15309,Abl,,sif,CG43222,Pkc53E,,,msi,eEF1beta,Gprk2,,CG4829,CG13408,Appl,beat-Ia,Mmp2,CG32486,DopEcR,dati,LpR2,Alk,Sytalpha,CG7029,CG42394,nSyb,Ggamma1,,pHCl-1,5-HT2A,CAH1,sNPF-R,CG34114,ref(2)P,,noc,,egr,VhaAC39-1,NLaz,kek3,Pde8,SdhD,cib,ATPsynbeta,GILT1,N,Mdr65,,Npc2a,CG8248,shi,,Cyp6a20,SoxN,Rgk3,CG10433,CG32700,CG11200,Gel,,Rh7,CG6472,CG43658
,,CG32052,,,CG14322,Hasp,eIF5,nAChRalpha6,,CG32982,Nca,ru,sif,Gs2,CdsA,Cbp53E,jeb,Snap25,Liprin-gamma,bsh,CG13685,Sytalpha,CG5644,ssp6,,CG33639,NK7.1,Gbeta13F,,,sdt,Sod2,Hsp68,,CG10514,TkR86C,CG3257,rad,Tsp66E,VAChT,Ip259,beat-Va,vkg,tsr,Ace,Tapdelta,Rgk2,bol,beat-Va,,trol,aPKC,Lk6,CG30285,Fife,P32,,CG9328,,CG1552,CG6329,tutl,klu,Src64B,CG32052,hdly,IscU,sNPF,fng,CG13255,,Spn,MYPT-75D,app,,CG32687,RpL23,Pdfr,MESK2,CG32091,drd,CG15098,,7B2,Mipp1,vri
,,beat-IIIc,,,beat-Vc,Hs3st-A,spab,cpx,,Arc1,LTV1,Cisd2,ND-B22,CG31869,Sesn,zld,chinmo,CG9109,CG15628,Gpdh,CG43066,corn,CG34159,CG42313,,nrv3,muc,Tektin-C,,,ap,CG1275,CG44257,,Tsp42Ee,CG18467,CG33111,CG33543,CR45312,5-HT2A,SdhD,Oamb,CG15347,fkh,cpo,Xrp1,RhoGAP71E,luna,CG33143,,erm,CG12994,CG18622,CG44325,Pdk,chic,,bru3,,CG13631,Gasz,Mkk4,CG42673,comm,beat-VI,CG10226,Hsp60A,DIP-zeta,CR44998,CG15098,,SdhB,CG1275,Arl6,,sprt,CG11000,CG10479,CG7781,CG42700,RpS13,CG15209,,zfh2,CG8303,Rep
,,CG33143,,,Myo81F,CR46006,CG3009,bru3,,aay,CG18208,CG42458,Ace,Dbi,Drl-2,CG45263,CG11319,CG3009,SdhD,KCNQ,Ktl,CG43324,eIF3g1,RhoGAP93B,,CG10384,GstE13,CG32700,,,CG14044,Trx-2,Drgx,,CG1545,Rab2,Prosap,Hsc70-3,SIFaR,ftz-f1,Pvf3,beat-Vb,Idgf1,CG17841,Pka-C1,AnxB11,Pdcd4,mAChR-B,CG43902,,Syt1,NaCP60E,CG9691,Sirup,Pka-C3,RpS5a,,CG32982,,Irk3,CG7407,hdc,dpr16,CrzR,porin,Cyp6a20,Vha44,TyrR,Csas,Vmat,,ND-18,Sdc,AstA-R1,,CG15083,CG17816,unc-13-4A,CG10514,Ac76E,CG5867,Sirup,,Plc21C,CG30154,Lac
